                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.1475,                 1.1724,                  1.278,                0.79573,                0.69156,                0.76244,                0.48132,                 1.2743,                 1.0768,                  1.199,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.1465,                 1.1872,                 1.2736,                0.78606,                0.69017,                0.76319,                0.47551,                 1.2847,                 1.0719,                 1.2042,               0.005743,               0.005743,               0.005743
                     88,                 1.1548,                 1.1768,                 1.2747,                0.79957,                 0.6865,                0.76524,                0.47804,                 1.2924,                 1.0747,                 1.2098,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.1462,                 1.1757,                 1.2712,                0.78746,                0.68892,                0.76392,                0.47977,                 1.2835,                 1.0714,                 1.2003,               0.005644,               0.005644,               0.005644
                     90,                 1.1479,                 1.1801,                 1.2752,                0.80046,                0.68334,                0.76272,                0.47773,                  1.293,                 1.0696,                 1.2104,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.1391,                 1.1597,                 1.2701,                0.79737,                0.68656,                0.76508,                0.48485,                 1.2746,                 1.0646,                 1.2034,               0.005545,               0.005545,               0.005545
                     92,                 1.1362,                 1.1589,                 1.2699,                0.79988,                0.69197,                0.76962,                0.48775,                 1.2741,                 1.0667,                 1.1973,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.1246,                 1.1577,                 1.2647,                0.80072,                 0.6879,                0.76755,                0.48462,                 1.2827,                 1.0668,                 1.1998,               0.005446,               0.005446,               0.005446
                     94,                 1.1323,                 1.1622,                 1.2664,                0.78658,                0.70008,                0.76878,                0.49149,                 1.2687,                 1.0539,                 1.1947,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.1283,                  1.154,                 1.2737,                0.79019,                0.69902,                0.76951,                0.49098,                 1.2625,                 1.0541,                 1.1901,               0.005347,               0.005347,               0.005347
                     96,                 1.1345,                 1.1539,                 1.2676,                0.77489,                0.70296,                0.77025,                 0.4856,                 1.2815,                 1.0591,                 1.2006,              0.0052975,              0.0052975,              0.0052975
                     97,                  1.117,                 1.1432,                 1.2583,                0.81318,                 0.6837,                0.77207,                 0.4917,                 1.2678,                 1.0525,                 1.1919,               0.005248,               0.005248,               0.005248
                     98,                 1.1382,                  1.154,                 1.2696,                0.80478,                0.68522,                0.77003,                0.48877,                 1.2761,                 1.0569,                 1.1991,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.1297,                 1.1481,                 1.2616,                0.80135,                0.69455,                0.77041,                0.49077,                 1.2707,                 1.0519,                 1.1946,               0.005149,               0.005149,               0.005149
                    100,                 1.1223,                 1.1425,                 1.2601,                0.79882,                0.69584,                0.77282,                0.49024,                 1.2734,                 1.0461,                 1.1931,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.1192,                 1.1309,                 1.2568,                0.79528,                0.70128,                0.77116,                0.48864,                 1.2748,                 1.0453,                 1.1932,                0.00505,                0.00505,                0.00505
                    102,                 1.1216,                 1.1365,                 1.2526,                0.79992,                0.69903,                0.77285,                0.48734,                 1.2737,                 1.0426,                 1.1928,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.1215,                 1.1409,                 1.2578,                 0.8002,                0.70062,                0.77369,                 0.4885,                 1.2752,                  1.041,                 1.1941,               0.004951,               0.004951,               0.004951
                    104,                  1.099,                 1.1189,                 1.2467,                0.80436,                0.69262,                0.77388,                0.48816,                 1.2784,                 1.0405,                 1.1952,              0.0049015,              0.0049015,              0.0049015
